username,IP_address,home_office,API_version,redacted_password,contact_address
marit_breivik,18.87.106.2/17,false,v3,F************************G,marit_breivik@baretoev.trd
marit_breivik,127.136.19.131/23,true,v3,G*******************w,marit_breivik@baretoev.trd
goeran_soerloth,70.242.140.89/19,false,v1,l*******************V,goeran_soerloth@baretoev.trd
liv_ullmann,146.55.89.150/25,true,v2,D******************m,liv_ullmann@baretoev.trd
astrid_s,93.36.49.131/28,false,v4,|***********************x,astrid_s@baretoev.trd
trine_haltvik,12.216.180.21/23,false,v2,~*********************i,trine_haltvik@baretoev.trd
are_og_odin,255.5.78.236/27,true,v3,v************7,are_og_odin@baretoev.trd
dag_ingebrigtsen,67.91.26.89/27,true,v2,s********************#,dag_ingebrigtsen@baretoev.trd
bjarne_brondbo,234.173.16.14/31,false,v1,O**************.,bjarne_brondbo@baretoev.trd
dag_ingebrigtsen,62.113.72.242/29,true,v3,)*****************o,dag_ingebrigtsen@baretoev.trd
terje_tysland,28.182.36.15/31,true,v4,}*************@,terje_tysland@baretoev.trd
rune_bratseth,51.71.214.76/30,true,v1,#*****************Y,rune_bratseth@baretoev.trd
liv_ullmann,109.184.61.127/26,true,v3,9*****************|,liv_ullmann@baretoev.trd
olaf_sand,163.138.92.55/32,false,v3,b******************6,olaf_sand@baretoev.trd
are_og_odin,211.227.37.9/27,false,v4,h********************5,are_og_odin@baretoev.trd
olaf_sand,46.168.193.73/20,false,v3,i*************',olaf_sand@baretoev.trd
trine_haltvik,100.83.240.57/16,true,v2,9*******************w,trine_haltvik@baretoev.trd
benny_naassaa,65.123.42.111/23,true,v4,8************O,benny_naassaa@baretoev.trd
gynter_nisse,35.221.178.155/32,false,v4,<*********************f,gynter_nisse@baretoev.trd
goeran_soerloth,48.111.87.180/19,true,v4,|***************t,goeran_soerloth@baretoev.trd
tore_paa_sporet,162.63.164.120/25,true,v4,T**********************w,tore_paa_sporet@baretoev.trd
marvin_wiseth,11.74.1.197/18,false,v2,(*************E,marvin_wiseth@baretoev.trd
ola_by_riise,38.122.132.74/29,true,v4,`************************u,ola_by_riise@baretoev.trd
aage_aleksandersen,181.17.198.78/22,false,v1,'*******************r,aage_aleksandersen@baretoev.trd
liv_ullmann,180.28.35.70/20,true,v1,K***************y,liv_ullmann@baretoev.trd
bjorn_tore_kvarme,128.127.119.20/20,true,v3,p***************E,bjorn_tore_kvarme@baretoev.trd
tore_paa_sporet,240.209.125.194/16,false,v1,P********************D,tore_paa_sporet@baretoev.trd
sverre_nypan,232.150.140.234/19,false,v4,X****************O,sverre_nypan@baretoev.trd
hansi_nisse,4.21.72.107/28,true,v1,+************h,hansi_nisse@baretoev.trd
anders_jektvik,193.42.219.124/25,true,v2,^****************r,anders_jektvik@baretoev.trd
petter_wavold,235.3.15.11/19,true,v4,?*********************8,petter_wavold@baretoev.trd
fritz_nisse,4.214.36.158/27,true,v1,V**********************r,fritz_nisse@baretoev.trd
